;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Jerry Colonna;[u'Road to Hong Kong', u'Road to Singapore']
Victoria Thompson;[u'The Harrad Experiment', u'The Harrad Summer']
Amanda Blake;[u'Whodunit']
John Litgow;[u'Pelican Brief', u'Raising Cain', u'At Play in the Field of the Lord', u'A Civil Action', u'The Adventures of Buckaroo Banzai: Across the 8th Dimension']
Anna Proclemer;[u'A Trip To Italy']
Joseph Sawyer;[u'Black Legion', u'San Quentin', u'The Roaring Twenties']
Bo Foxworth;[u'Skin Deep']
David Thewis;[u'Seven Years in Tibet']
Charles Middleton;[u'The Santa Fe Trail', u'Flash Gordon', u"Flash Gordon's Trip to Mars", u'Beau Hunks', u'The Oklahoma Kid', u'Mrs. Wiggs of the Cabbage Patch', u'White Woman', u'The Perils of Nyoka']
Monty Wooley;[u"The Bishop's Wife"]
Mai Zettering;[u'Frenzy']
Apollonia;[u'Black Magic Woman']
Robert Olivieri;[u'Honey, I Shrunk the Kids']
Brendon Sexton;[u'Desert Blue']
Jeffrey Coombs;[u'The Reanimator']
Hugh OConnor;[u'My Left Foot', u'The Three Musketeers']
Bruce McGill;[u'My Cousin Vinny', u'Out Cold', u'Silkwood', u'Time Cop']
Turhan Bey;[u'The Climax']
David Thewil;[u'Naked']
Dana Gillespie;[u'The People that Time Forgot']
Wanda McKay;[u'Jungle Goddess']
Philip Chan Yan;[u'Double Impact']
Gunther Kaufmann;[u'Gods of the Plague']
Philippe Noiret;[u"'Round Midnight", u"La Vie et Rien d'Autre", u'Ripoux contre Ripoux', u'Il Postino', u'Lady L.', u'Who Are You, Polly Magoo?']
Eric Dare;[u'Critters 4']
Gail Patrick;[u'Her Husband Lies', u'My Favorite Wife', u'Stage Door', u'Tales of Manhattan', u'The Big Broadcast of 1936', u'Mad About Music', u"Madonna's Secret"]
Buzz Merten;[u'A Night With the Boys']
Rena Owen;[u'Once Were Warriors']
Nella Montagna;[u'Il processo Clemenceau']
Louis daPron;[u'The Big Broadcast of 1937']
George Murcell;[u'Year of the Gun']
Martin Beck;[u"Don't Call Me Frankie"]
Eva Kerekes;[u'Sweet Emma, Dear Bobe']
George Grizzard;[u'TZ:Bachelor Party', u'TZ:Wrong is Right']
Jane Adams;[u'House of Dracula', u'Happiness']
Karl Scheydt;[u'The American Soldier']
Danny Aieollo;[u'The Protector']
Ken Chapin;[u'Zelig']
Marques Johnson;[u"White Men Can't Jump"]
Gosia Dobrowolska;[u'Golden Braid', u'Touch Me']
Jospph dellaSorte;[u'Las Vegas Lady']
Adreinne Dore;[u'The Wild Party']
Elsa Burnett;[u'Dollar']
Katie Holmes;[u'Go']
Leah Baiurd;[u"Neptune's Daughter"]
Fannie Flagg;[u'Five Easy Pieces', u'Fried Green Tomatoes']
Hurd Hatfield;[u'El Cid', u'The Left Handed Gun', u'Invincible Mr. Disraeli', u'The Diary of a Chambermaid', u'Tarzan and the Slave Girl', u'King of Kings', u'Joan of Arc']
Trevyn McDowell;[u'Middlemarch']
Nancy Gates;[u'The Member of the Wedding']
Kishi Keiko;[u'TZ:The Yakuza']
Patricia Healey;[u'Sweet Poison']
Sabine Glaser;[u"L'homme qui aimait les femmes"]
n Buster Keaton;[u'The Boat']
Kaz Garas;[u'The Last Safari']
Shelly Winters;[u'The Poseidon Adventure']
Christel Holck;[u"The Aviator's Generosity"]
Stanley Livingston;[u'TZ:Smokey and the Hotwire Gang', u'Private Parts']
JeanPierre Cargol;[u"L'Enfant Sauvage"]
Roy Jenson;[u'Chinatown']
Jill Adams;[u'The Green Man', u'Promise Her Anything']
Mikki Allen;[u'Regarding Henry']
Bill Goodwin;[u'The Jolson Story', u'So This is New York']
Basil Radford;[u'Dead of Night', u'The Night Train to Munich', u'Young and Innocent', u'The Lady Vanishes', u'Passport to Pimlico', u'Seven Days Leave', u'Whiskey Galore', u'Convict 99']
Sophie Tucker;[u'Broadway Melody of 1938']
Wanda Blackman;[u'Obsession']
John Shard;[u'Hero']
Derek deLint;[u'The Assault']
Greg Evigne;[u'A Bird in the Hand']
Juliette Binoch;[u'Les Amants du Pont-Neuf']
Jessica Biel;[u"Ulee's Gold"]
Genvieve Bujold;[u'Dead Ringers']
Mary brian;[u'Peter Pan']
Cathy ODonnell;[u'Bury Me Dead', u'The Deerslayer', u"Eight O'Clock Walk", u'They Live By Night', u'The Best Years of our Lives', u'Detective Story', u'Ben Hur']
Jack McGowran;[u'The Titfield Thunderbolt', u'The Exorcist']
Ugo Piperno;[u'La donna nuda']
Veronika Johansson;[u'Rendezvouz in Paris']
Sarah Patterson;[u'The Company of Wolves']
Fred E. Leuchter jr.;[u'Mr. Death']
Philip Jackson;[u'Bad Behaviour', u'High Hopes']
John Pinette;[u'Dear God']
Miles Malleson;[u'The Importance of Being Earnest', u'Dead of Night', u"Trent's Last Case", u"Fury at Smuggler's Bay", u'The Thief of Bagdad', u'Kind Hearts and Coronets', u'Tudor Rose', u'The Man in The White Suit', u'Dracula']
Shemp Howard;[u'The Invisible Woman', u'Buck Privates', u'Africa Screams', u'The Bank Dick', u'Crazy House', u'Helzapoppin']
Ronald Pickup;[u'The Thirty-nine Steps']
Bob Nelson;[u'This is my Life']
Kellie Martin;[u'Matinee', u'Kidnapped']
James Whitney;[u'Battle Cry']
Sandra Knight;[u'Thunder Road', u'Tower of London', u'The Terror', u"Frankenstein's Daughter", u'Blood Bath']
MacKenzie Phillips;[u'TZ:Love Child']
Frank Lackeen;[u'Isle of Fury']
Percy Marmont;[u'The Light That Failed', u'Rich and Strange', u'Secret Agent', u'Young and Innocent']
Albert Hall;[u'Betrayed', u'Apocalypse Now', u'Malcolm X']
Dermot Mulroney;[u'Point of No Return', u'Bad Girls', u'Longtime Companion', u"My Best Friend's Wedding", u'Goodbye Lover']
Judith Ridley;[u'The Night of The Living Dead']
Darrell Fetty;[u'Murder Ordained']
Scott Neal;[u'Beautiful Thing']
Neil Diamond;[u'The Last Waltz']
Colleen Dewhurst;[u'Tribute', u'Ice Castles', u'TZ:When a Stranger Calls', u'Night Fever', u'Dying Young', u'Annie Hall']
Ezno Tarascio;[u'Il Conformista']
Alex Rebar;[u'The Incredible Melting Man']
Hugh Williams;[u'David Copperfield', u'Bitter Sweet', u'Rome Express', u'Wuthering Heights']
Victor Slezak;[u'Bridges of Madison County']
Jean DeSailly;[u'La peau douce']
Ruth Gordon;[u'Any Which Way You Can', u"Where's Poppa?", u'Lord Love a Duck', u'Two-Faced Woman', u'Harold and Maude', u'TZ:The Big Bus', u'Whatever Happened to Aunt Alice?', u'Edge of Darkness', u'Inside Daisy Clover', u"Rosemary's Baby", u'TZ:My Bodyguard', u"Dr. Ehrlich's Magic Bullet"]
Glynn Turman;[u'The River Niger', u'Out of Bounds']
Tom Arnold;[u'Undercover Blues', u'True Lies', u'Touch', u'Nine Months', u'Hero']
Linda Kerridge;[u'TZ:Fade to Black']
Johnson;[u'The Hunter']
Terry Kiser;[u'Into the Sun', u'Steel', u'Eye for an Eye']
Samuel L. Johnson;[u'Coming to America']
John Marshall Jones;[u"White Men Can't Jump"]
Don Alvorado;[u'The Big Steal', u'Beau Ideal', u'Rio Rita']
Quentin Crisp;[u'Orlando']
Maria Rochwine;[u'The Buddy Holly Story']
Richard Cromwell;[u'Lives of a Bengal Lancer', u'Young Mr. Lincoln', u'Jezebel']
Albert Austin;[u'The Immigrant', u"A Dog's Life"]
Michael Ansara;[u'Harum Scarum', u'Voyage to the Bottom of the Sea', u'Day of the Animals', u'TZ:The Manitou']
Ernest Torrence;[u'The King of Kings', u'Steamboat Bill jnr.', u'Peter Pan', u'Mantrap', u'The Hunchback of Notre Dame']
Stephen Furst;[u'Animal House', u'TZ:Silent Rage', u"National Lampoon's Class Reunion", u'TZ:Up the Creek']
JeanClaude Brialy;[u'The Cousins', u'La Genou de Claire', u'La Marie Etait En Noir', u'Le Fantome de la Liberte', u'La Ronde']
Matt Keeslar;[u'The Last Days of Disco']
Bernard Blier;[u'The Possessed', u'Breakdown', u'Buffet Froid', u'P\xe9trole, p\xe9trole', u'Le Journal Tombe a Cinq Heures', u'Les Tontons Flingeurs', u'Quai des Orf\xe8vres', u'Jenny Lamour', u"L'Ecole Buissoni\xe8re", u'Hotel du Nord', u'Le Grand Blond avec une Chaussure Noire']
Spotted Elk;[u'The Silent Enemy']
Oscar Asche;[u'Scrooge']
Vera Miles;[u'Hellfighters', u'Back Street', u'One of Our Spies is Missing', u'Fire!', u'The Charge at Feather River', u'The Wrong Man', u'Psycho', u'Revenge', u'Incident At A Corner', u'Tarzan Hidden Jungle', u'Death Scene', u"Don't Look Behind You", u'The Searchers', u'The Man Who Shot Liberty Valance', u'Beau James', u'Psycho II', u'One Little Indian', u'The Last Generation']
Iñaki Aierra;[u'Horas Dulces']
Nikolai Cheraskov;[u'Ivan the Terrible, part I', u'Ivan the Terrible, part II']
Henry Stephenson;[u'Suez', u'The Adventures of Sherlock Holmes', u'Captain Blood', u'Charge of the Light Brigade', u'The Private Lives of Elizabeth and Essex', u'Night and Day', u'Conquest', u'Of Human Bondage', u'The Animal Kingdom', u'If I Were Free', u'She Loves Me Not', u'Hearts Divided', u'Mutiny on the Bounty', u'A Bill of Divorcement', u'Little Women', u'Mantrap', u'Beloved Enemy', u'Mr. Lucky', u'Red-headed Woman', u'Thirty-Day Princess', u'Tarzan Finds a Son', u'Young at Heart', u'Heartbeat', u'Reckless', u'The Richest Girl in The World', u'Vanessa, her Love Story', u'The Prince and The Pauper']
Shaunessey s a;[u'Primal Fear']
Tom Baker;[u'Nicholas and Alexandra', u'The Golden Voyage of Sinbad', u'The Vault of Horror']
Marilyn Sokol;[u'Last Married Couple in America']
Billie Crystal;[u"City Slickers II, The Legend of Curly's Gold"]
Jeffrey Linn;[u'All This and Heaven Too']
Violet KempleCooper;[u'Vanessa, her Love Story']
James ONeill;[u'The Count of Monte Christo']
Marcy Walker;[u'Overexposed']
Joni Mtichell;[u'The Last Waltz']
Eric Bruskotter;[u'Major League, Back to the Minors']
Nancy Barret;[u'House of Dark Shadows']
Brad Harris;[u'TZ:Hercules']
Ricardo Fellini;[u'I Vitelloni']
Cynda Williams;[u'Wet', u'One False Move', u"`Mo' Better Blues"]
Ewan McGregor;[u'Shallow Grave', u'Trainspotting', u'A Life Less Ordinary', u'Episode 1, The Phantom Menace', u'Little Voice', u'The Pillowbook']
Edwin Richfield;[u'Quatermass and the Pit']
Philip Baker Hall;[u'An Innocent Man', u'Secret Honor']
Corki Corman;[u'Night Shift']
Linda Grovenor;[u'Die Laughing']
Hank Henry;[u'The Only Game in Town', u'Pal Joey']
John Mohanney;[u'Primal Fear']
Christina Garvin;[u'My Life As a Dog']
Gavin Gordon;[u'Romance', u'American Madness', u'The Bitter Tea of General Yen', u'The Perfect Crime', u'The Bride of Frankenstein', u'Knock on Wood', u'The Scarlet Empress']
Richard Jaeckel;[u'Forecast: Low Clouds and Coastal Fog', u'3:10 to Yuma', u'The Dark', u'Sometimes A Great Notion', u'Dirty Dozen', u'Pat Garrett and Billy the Kid', u'Drowning Pool', u'Grizzly', u'Day of the Animals']
Robert Palmer;[u'Deep Blues']
Lau Siu Ming;[u'Eat a Bowl of Tea']
Robert Baldwin;[u'Illicit Dreams 2']
Zachary Scott;[u'Mildred Pierce', u'Flamingo Road', u'The Five-Forty-Eight', u'The Mark of Dimitrios', u'The Southerner', u'Born to Be Bad', u'Shadow on the Wall']
Rosel Zech;[u'Salmonberries', u'Veronica Voss']
Herman Glogauer;[u'Once in a Lifetime']
HansJurgen Muller;[u'Die Grosse Flatter']
Hal E. Chester;[u'The East Side Kids']
Kareem AbdulJabbar;[u'Airplane!', u'The Stand']
Joe Keaton;[u'Our Hospitality']
Robert MacNaughton;[u'E.T.']
Charlie Rich;[u'TZ:Take this Job and Shove it']
Robyn Lively;[u'Karate Kid III']
Boozoo Chavis;[u'The Kingdom of Zydeco']
Brian Deacon;[u'A Zed and Two Naughts']
Donald Calthrop;[u'Major Barbara', u'Blackmail', u'Elstree Calling', u'Murder!', u'Number Seventeen', u'Scrooge', u'Broken Blossoms', u'Dreaming Lips', u'Love From A Stranger', u'I was A Spy', u'The Ghost Train', u'Rome Express']
Vivian Edwards;[u'Dough and Dynamite']
Ronee Blakley;[u'Nashville', u'The Driver']
Richard Slattery;[u'Anyone for Murder?']
Nikolai Okhlopkov;[u'Alexander Nevsky']
Kevin OShea;[u'The Puple Heart']
George Periolat;[u'Their Hero Son']
Barbara Stanwyk;[u'Cattle Queen of Montana', u'Sorry Wrong Number', u'Ever in My Heart', u'Gambling Lady', u'Double Indemnity', u'My Reputation', u"There's Always Tomorrow", u'The Miracle Woman', u'The Man Without a Cloak', u'Variety Girl', u'Annie Oakley', u'Blowing Wild', u'Ball of Fire', u'Banjo on my Knee', u'The Gay Sisters', u'Titanic', u'Stella Dallas', u'The Mad Miss Minton', u'No Man of her Own', u'East Side West Side', u'The Woman in Red', u'These Wilder Years', u"B.F.'s Daughter", u'Lady of Burlesque']
David Proval;[u'Mean Streets']
Lila Kate;[u'Nuns on the Run']
John Adames;[u'Gloria']
Tessa Richarde;[u'Young Doctors in Love']
Milton Sills;[u'The Eyes of Youth']
Herve Villechaize;[u'The Man with the Golden Gun', u'Airplane II: The Sequel', u"TZ:Greaser's Palace"]
Russel Collins;[u'Fail Safe']
G.D. Spradlin;[u'Apocalypse Now', u'TZ:Tank', u'TZ:Wrong is Right']
Gregory Ratoff;[u'What Price Hollywood', u'Symphony of Six Million', u'All About Eve', u'Exodus', u'Once in a Lifetime', u'King of Burlesque', u'The Great Profile']
Virginia Grey;[u'Unconquered', u'The Big Store', u'The Rose Tatoo', u'Madame X', u'Back Street', u'Tammy tell me True', u"Sweet Rosie O'Grady", u"Tarzan's New York Adventure", u'Jungle Jim']
Thurston Hall;[u'The Invisible Woman', u'This Land is Mine', u'The Great McGinty']
Moore marriott;[u'Back Room Boy']
Malcolm Terris;[u'The First Great Train Robbery']
Judd Omes;[u'Bounty Hunter']
Joghi May;[u'The Last of the Mohicans']
Viktor Tsoi;[u'Igla']
Sandahl Bergman;[u'The Return of She', u'Conan the Barbarian']
Dann Florek;[u'Getting Even With Dad']
Morgan Paull;[u'TZ:Fade to Black']
Jane Wyman;[u"Let's Do It Again", u'The Lost Weekend', u'Night and Day', u'The Yearling', u'Hollywood Canteen', u'Magnificent Obsession', u'TZ:Pollyanna', u'Just for You', u'Stage Fright', u'Johnny Belinda', u'Miracle in the Rain', u'The Singing Marine', u'Slim']
Oprah Winfrey;[u'Beloved', u'The Color Purple']
Ari Megro;[u'Dutch']
Beatrice Lillie;[u'Thoroughly Modern Millie', u'Around the World in 80 Days']
Daryl Hannah;[u'Attack of the 50-foot Woman', u'Roxanne', u'Steel Magnolias', u'At Play in the Field of the Lord', u'Memoirs of an Invisible Man', u'Rear Window', u'TZ:Reckless', u'Wall Street', u'TZ:Summer Lovers', u'Blade Runner', u'Crimes and Misdemeanors']
Constance Moore;[u'Show Business']
Judd Omen;[u'C.H.U.D. II, Bud the Chud', u"Pee-Wee's Big Adventure"]
Leo G. Carroll;[u'The Private Life of Elizabeth and Essex', u'The Private Lives of Elizabeth and Essex', u"We're No Angels", u'To Trap a Spy', u'One of Our Spies is Missing', u'TZ:The Parent Trap', u'Rebecca', u'Suspicion', u'Spellbound', u'The Paradine Case', u'Strangers on a Train', u'North by Northwest', u'The House on 92nd Street', u'The Snows of Kilimandjaro', u'The Spy with my Face', u'The Prize', u'Captains Courageous', u'Father of the Bride', u'The Bad and the Beautiful', u'Wuthering Heights']
Phil Silvers;[u'The Chicken Chronicles', u'Don Juan Quilligan', u'Tom, Dick and Harry', u'Follow That Camel', u'Cover Girl', u'A Funny Thing Happened on the Way to the Forum', u"TZ:It's a Mad Mad Mad Mad World", u'All Through the Night', u'Coney Island']
Martin Vignover;[u'The King and I']
Steven Lorber;[u'Of Flesh and Blood']
Robert Sacchi;[u"The Man With Bogart's Face"]
Hector Noguera;[u'Archipielago']
Stephen Mailer;[u'Reversal of Fortune']
Charo;[u"Hans Christian Andersen's Thumbelina", u'TZ:Working Girl']
Ron Perlman;[u'Cronos', u'Quest for Fire']
Sauri Frey;[u'TZ:War and Remembrance']
David Warren;[u'The Thirty-nine Steps']
Paul Land;[u'Spring Break']
Douglas Wilmer;[u'El Cid', u'The Brides of Fu Manchu', u'The Golden Voyage of Sinbad', u'The Vengeance of Fu Manchu']
Henry ONeill;[u'The Amazing Dr.Clitterhouse', u'Castle on the Hudson', u'Dodge City', u'Untamed', u'The Second Woman', u'Invisible Stripes', u'Anthony Adverse', u'They Drive by Night', u'Lady Killer', u'Angels Wash Their Faces', u'Lost Angel', u'Tortilla Flat', u'A Guy Named Joe', u'Calling Philo Vance', u'Fog Over Frisco', u'Juarez', u"Dr. Ehrlich's Magic Bullet", u'Bullets or Ballots', u'Jezebel']
Sidney Lassick;[u'Hot Stuff']
Kim Darby;[u'TZ:True Grit', u'Grissom Gang']
Blythe Danner;[u'The Myth of Fingerprints', u'Forces of Nature', u'Prince of Tides', u'TZ:Man, Woman and Child', u'TZ:A Love Affair "The Eleanor and Lou Gehrig Story"', u'TZ:To Kill a Clown', u'F. Scott Fitzgerald and the Last of the Belles', u'Hearts of the West', u'Mr. and Mrs. Bridge', u'TZ:The Great Santini', u'Saint Maybe', u'TZ:1776', u'The Love Letter', u'Futureworld', u'Another Woman', u'Alice', u'Are You in the House Alone?']
Glauco Mauri;[u'China is Near']
Robert Mulligan;[u'The Group']
O.W. Fischer;[u'Ludwig II']
Laura deSol;[u'Carmen']
Danny Valdez;[u'Zoot Suit']
Hayley Mills;[u'Whistle Down the Wind', u'TZ:Pollyanna', u'The Parent Trap', u'TZ:That Darn Cat', u'TZ:Endless Night']
Gajendra;[u'Tarzan Goes to India']
Ted Danson;[u'Just Between Friends', u'Dad', u'The Onion Field', u'Getting Even With Dad', u'Cousins', u'Body Heat', u'TZ:Three Men and A Baby', u'Made in America']
Otto Reichow;[u'The Crystal Trench']
Zbigniew Zamachowski;[u'White']
Barton Maclane;[u'Tarzan and the Amazons', u'Tarzan and the Huntress', u'I Found Stella Parrish']
John Irland;[u'The Incubus']
Arthur White;[u'Life of an American Fireman']
Lyle Waggoner;[u'Love Me Deadly']
Denise Crossby;[u'Skin Deep']
René Assa;[u'976-Evil']
Bradford Bancroft;[u'The Supernaturals']
Albert Lieven;[u'Foxhole in Cairo', u'Sleeping Car to Trieste', u'The Life and Death of Colonel Blimp']
Myriam Cyr;[u"Comment faire l'amour avec un negre sans se fatigue"]
Clarence muse;[u'Night and Day']
Simone Renant;[u'Quai des Orf\xe8vres', u'Jenny Lamour', u'Les Perles de la couronne']
Patti Smith;[u'Robert Having His Nipple Pierced']
Frank McGlynn;[u'The Plainsman', u'The Littlest Rebel', u'Wells Fargo', u'Western Gold', u'The Prisoner of Shark Island', u'Roaring West']
Gregg Weaver;[u'Dragnet']
Karl Malden;[u"The Cat O'Nine Tails", u'TZ:Pollyanna', u'A Streetcar Named Desire', u'On the Waterfront', u'Baby Doll', u'Patton', u'Bombers B-52', u'I Confess', u"TZ:Murderer's Row", u'Kiss of Death', u'How the West Was Won', u'Cheyenne Autumn', u'TZ:Birdman of Alcatraz', u'Ruby Gentry', u'TZ:One Eyed Jacks', u'Nuts', u'TZ:Cincinnati Kid', u'Where the Sidewalk Ends', u'TZ:Meteor']
Bernard Hill;[u'Mountains of the Moon', u'The Titanic', u'Drowning By Numbers', u'The Bounty']
Barry Bostwick;[u'War and Remembrance', u'Movie Movie']
Edward Judd;[u'The Vengeance of She', u'The Vault of Horror']
Richard Gladstein;[u'Dangerous Toys']
Adam Baldwin;[u'TZ:D.C. Cab', u'TZ:My Bodyguard']
Hertha Thiele;[u'K\xfchle Wampe']
Peter McEnery;[u'Victim', u'The Cat and the Canary']
Julian Reyes;[u'Point Break']
Greta Scacchi;[u'Presumed Innocent', u'Defence of the Realm', u'The Coca-Cola Kid', u'Heat and Dust', u'Jefferson in Paris', u'White Mischief', u'Good Morning, Babylon', u'The Player', u'Shattered']
Pia Zadora;[u'The Naked Gun 2 1/2: The Smell of Fear', u'Hairspray', u'Butterfly', u'TZ:The Lonely Lady']
Roger Jendly;[u'La maison assassinee']
Paul Richter;[u'Sigfried', u"Krimhild's Revenge"]
Anthony Rapp;[u'Dazed and Confused']
William Thorne;[u'Dangerous Toys']
Hallie Eckstein;[u'TZ:Fast Times at Ridgemont High']
Serge Reggiani;[u'Les Amants de Verone', u"Casque d'Or", u'The Leopard', u'La Ronde', u'The Secret People']
Michael Carmine;[u'Batteries Not Included']
Marcel Vibert;[u'Champagne']
Eduarado DeFilippo;[u'Side Street Story']
Larry Blake;[u'Son of Sinbad']
Claire McDowell;[u'An American Tragedy', u'What Every Woman Knows']
Anita Skinner;[u'Girlfriends']
Emily Lloyd;[u'Wish You Were Here', u'A River Runs Through It']
Dora Bryan;[u'The Blue Lamp', u'Carry On Sergeant', u"The Man Who Wouldn't Talk", u'Hands of the Ripper', u'The Green Man', u'A Taste of Honey']
Natalie Moorhead;[u'The Unholy Night', u'The Thin Man']
Cliff Richards;[u'Summer Holiday']
Tim Allen;[u'For Richer or Poorer', u'Jungle 2 Jungle']
Muriel George;[u'Last Holiday']
Reinol Martinez;[u'Mariachi']
Jack Shepperd;[u'Blue Ice']
Lisa Jacub;[u'Mrs. Doubtfire', u'The Beautician and the Beast']
Maureen Arthur;[u'How To Succed in Business Without Really Trying']
Hans Albers;[u'Asphalt', u'Der Blaue Engel']
Sara Kestelman;[u'TZ:Zardoz', u'Lisztomania']
Y. Valbert;[u'The Childhood of Maxim Gorki']
Dom Ameche;[u'Suppose They Gave a War', u'Oscar', u'Hollywood Cavalcade']
Christopher Guard;[u'A Little Night Music']
Carol deLuise;[u'Hot Stuff']
Frank Grimes;[u'The Whales of August', u'You, Me, and Marley']
Tommaso Neri;[u'The Battle of Algiers']
Steven Mackintosh;[u'The Landgirls', u'London Kills Me']
Jaime Lynn Bauer;[u'Young Doctors in Love']
Gustavo Serena;[u'Il processo Clemenceau', u'Assunta Spina', u'The Woman of the Camelias']
Amy Wright;[u'The Accidental Tourist']
Jack Watson;[u'The Wild Geese']
Gene Gauntier;[u'From the Manger to the Cross']
Guido Mannari;[u'Caligula']
Margot Stevenson;[u'Calling Philo Vance']
Yves Montand;[u"L'Auberge Rouge", u'Jean de Florette', u'Manon des Sources', u'The Sleeping Car Murders', u'Z', u"L'Aveu", u'C\xe9sar et Rosalie', u"Let's Make Love", u'Le Salaire de la Peur', u'My Geisha', u'Tout Va Bien', u'Les Portes de la Nuit', u'On a Clear Day You Can See Forever']
Amy L. Taylor;[u'Dangerous Toys']
Peter Masterson;[u'The Stepford Wives', u'Tommorrow', u'In the Heat of the Night']
Warren Cosell;[u'Firefox']
Pierre Fresnay;[u'Marius', u'Le Journal Tombe a Cinq Heures', u'The Man Who Knew too Much', u'Le Corbeau', u'Le Puritain', u'La Grande Illusion', u'C\xe9sar']
